,datetime,energy_price,battery_charge,household_demand,solar_produced
0,1570939260.0,0.0,0.0,0.0048333333333333,0.0
1,1570939320.0,0.0,0.0,0.0048333333333333,0.0
2,1570939380.0,0.0,0.0,0.0048333333333333,0.0
3,1570939440.0,0.0,0.0,0.0048333333333333,0.0
4,1570939500.0,0.0,0.0,0.0048333333333333,0.0
5,1570939560.0,0.0,0.0,0.0048333333333333,0.0
6,1570939620.0,0.0,0.0,0.0048333333333333,0.0
7,1570939680.0,0.0,0.0,0.0048333333333333,0.0
8,1570939740.0,0.0,0.0,0.0048333333333333,0.0
9,1570939800.0,0.0,0.0,0.0048333333333333,0.0
10,1570939860.0,0.0,0.0,0.0048333333333333,0.0
11,1570939920.0,0.0,0.0,0.0048333333333333,0.0
12,1570939980.0,0.0,0.0,0.0048333333333333,0.0
13,1570940040.0,0.0,0.0,0.0048333333333333,0.0
14,1570940100.0,0.0,0.0,0.0048333333333333,0.0
15,1570940160.0,0.0,0.0,0.0048333333333333,0.0
16,1570940220.0,0.0,0.0,0.0048333333333333,0.0
17,1570940280.0,0.0,0.0,0.0048333333333333,0.0
18,1570940340.0,0.0,0.0,0.0048333333333333,0.0
19,1570940400.0,0.0,0.0,0.0048333333333333,0.0
20,1570940460.0,0.0,0.0,0.0048333333333333,0.0
21,1570940520.0,0.0,0.0,0.0048333333333333,0.0
22,1570940580.0,0.0,0.0,0.0048333333333333,0.0
23,1570940640.0,0.0,0.0,0.0048333333333333,0.0
24,1570940700.0,0.0,0.0,0.0048333333333333,0.0
25,1570940760.0,0.0,0.0,0.0048333333333333,0.0
26,1570940820.0,0.0,0.0,0.0048333333333333,0.0
27,1570940880.0,0.0,0.0,0.0048333333333333,0.0
28,1570940940.0,0.0,0.0,0.0048333333333333,0.0
29,1570941000.0,0.0,0.0,0.0048333333333333,0.0
30,1570941060.0,0.0,0.0,0.0048333333333333,0.0
31,1570941120.0,0.0,0.0,0.0048333333333333,0.0
32,1570941180.0,0.0,0.0,0.0048333333333333,0.0
